"","X1","Textbox87","Textbox82","nat_definition4","region_name_3","textbox37","Category3","textbox39","Assur_DestinationCity1","Cases3","Cases4"
"84",26445,"From: 01 Jan 2015","To: 31 Dec 2015","California",2015,5611,"Afghanistan",268,"Antelope",4,66517
"85",5130,"From: 01 Jan 2016","To: 31 Dec 2016","California",2016,8921,"Afghanistan",442,"Auburn",1,96874
"86",78,"From: 01 Jan 2017","To: 31 Dec 2017","California",2017,3101,"Afghanistan",106,"Anaheim",1,33368
"87",8540,"From: 01 Jan 2018","To: 31 Dec 2018","California",2018,1432,"Afghanistan",166,"El Cajon",3,22874
"88",15783,"From: 01 Jan 2019","To: 31 Dec 2019","California",2019,1802,"Afghanistan",326,"Carmichael",11,27514
"89",29650,"From: 01 Jan 2002","To: 31 Dec 2002","Colorado",2002,480,"Afghanistan",29,"Colorado Springs",10,30289
"90",54080,"From: 01 Jan 2003","To: 31 Dec 2003","Colorado",2003,574,"Afghanistan",28,"Colorado Springs",8,32235
"91",35693,"From: 01 Jan 2004","To: 31 Dec 2004","Colorado",2004,801,"Afghanistan",6,"Thornton",6,56342
"92",38964,"From: 01 Jan 2005","To: 31 Dec 2005","Colorado",2005,861,"Afghanistan",5,"Denver",5,51897
"93",44589,"From: 01 Jan 2006","To: 31 Dec 2006","Colorado",2006,843,"Afghanistan",24,"Denver",24,39552
"94",41936,"From: 01 Jan 2007","To: 31 Dec 2007","Colorado",2007,957,"Belarus",2,"Aurora",2,47753
"95",20797,"From: 01 Jan 2008","To: 31 Dec 2008","Colorado",2008,1331,"Bhutan",350,"Aurora",3,64733
"96",23830,"From: 01 Jan 2009","To: 31 Dec 2009","Colorado",2009,1944,"Afghanistan",2,"Denver",2,79942
"97",47374,"From: 01 Jan 2010","To: 31 Dec 2010","Colorado",2010,1925,"Afghanistan",4,"Commerce City",1,71361
"98",50146,"From: 01 Jan 2011","To: 31 Dec 2011","Colorado",2011,1469,"Belarus",1,"Denver",1,51458
"99",2791,"From: 01 Jan 2012","To: 31 Dec 2012","Colorado",2012,1612,"Belarus",4,"Denver",4,66292
"100",10500,"From: 01 Jan 2013","To: 31 Dec 2013","Colorado",2013,1667,"Afghanistan",18,"Colorado Springs",1,66066
"101",13290,"From: 01 Jan 2014","To: 31 Dec 2014","Colorado",2014,1926,"Afghanistan",17,"Colorado Springs",1,72820
"102",26726,"From: 01 Jan 2015","To: 31 Dec 2015","Colorado",2015,1625,"Afghanistan",20,"Colorado Springs",10,66517
"103",5488,"From: 01 Jan 2016","To: 31 Dec 2016","Colorado",2016,1910,"Afghanistan",43,"Denver",36,96874
"104",315,"From: 01 Jan 2017","To: 31 Dec 2017","Colorado",2017,667,"Afghanistan",18,"Denver",18,33368
"105",8684,"From: 01 Jan 2018","To: 31 Dec 2018","Colorado",2018,537,"Afghanistan",19,"Denver",13,22874
"106",15917,"From: 01 Jan 2019","To: 31 Dec 2019","Colorado",2019,526,"Afghanistan",28,"Denver",6,27514
"107",29710,"From: 01 Jan 2002","To: 31 Dec 2002","Connecticut",2002,493,"Afghanistan",44,"Bridgeport",30,30289
"108",54140,"From: 01 Jan 2003","To: 31 Dec 2003","Connecticut",2003,215,"Afghanistan",21,"Bridgeport",12,32235
"109",35756,"From: 01 Jan 2004","To: 31 Dec 2004","Connecticut",2004,428,"Afghanistan",8,"Ansonia",1,56342
"110",39023,"From: 01 Jan 2005","To: 31 Dec 2005","Connecticut",2005,578,"Afghanistan",35,"Clinton",4,51897
"111",44650,"From: 01 Jan 2006","To: 31 Dec 2006","Connecticut",2006,254,"Afghanistan",9,"Bridgeport",1,39552
"112",41996,"From: 01 Jan 2007","To: 31 Dec 2007","Connecticut",2007,486,"Afghanistan",11,"Hartford",2,47753
"113",20851,"From: 01 Jan 2008","To: 31 Dec 2008","Connecticut",2008,390,"Burma",156,"Hartford",155,64733
"114",23892,"From: 01 Jan 2009","To: 31 Dec 2009","Connecticut",2009,407,"Afghanistan",4,"New Haven",4,79942
"115",47437,"From: 01 Jan 2010","To: 31 Dec 2010","Connecticut",2010,514,"Afghanistan",23,"Hamden",7,71361
"116",50194,"From: 01 Jan 2011","To: 31 Dec 2011","Connecticut",2011,375,"Afghanistan",8,"Bridgeport",1,51458
"117",2850,"From: 01 Jan 2012","To: 31 Dec 2012","Connecticut",2012,509,"Afghanistan",14,"Clinton",4,66292
"118",10556,"From: 01 Jan 2013","To: 31 Dec 2013","Connecticut",2013,547,"Afghanistan",13,"New Haven",13,66066
"119",13354,"From: 01 Jan 2014","To: 31 Dec 2014","Connecticut",2014,534,"Afghanistan",4,"Hartford",1,72820
"120",26791,"From: 01 Jan 2015","To: 31 Dec 2015","Connecticut",2015,510,"Afghanistan",11,"Hartford",7,66517
"121",5558,"From: 01 Jan 2016","To: 31 Dec 2016","Connecticut",2016,897,"Afghanistan",38,"Hartford",18,96874
"122",369,"From: 01 Jan 2017","To: 31 Dec 2017","Connecticut",2017,270,"Afghanistan",18,"Hartford",1,33368
"123",8729,"From: 01 Jan 2018","To: 31 Dec 2018","Connecticut",2018,149,"Afghanistan",17,"New Haven",17,22874
"124",15958,"From: 01 Jan 2019","To: 31 Dec 2019","Connecticut",2019,146,"Afghanistan",20,"Bridgeport",5,27514
"125",29757,"From: 01 Jan 2002","To: 31 Dec 2002","Delaware",2002,36,"Afghanistan",16,"Dover",1,30289
"126",54190,"From: 01 Jan 2003","To: 31 Dec 2003","Delaware",2003,42,"Liberia",22,"Claymont",5,32235
"127",35801,"From: 01 Jan 2004","To: 31 Dec 2004","Delaware",2004,5,"Eritrea",2,"Newark",2,56342
"128",39075,"From: 01 Jan 2005","To: 31 Dec 2005","Delaware",2005,17,"Cuba",1,"Hialeah",1,51897
"129",44683,"From: 01 Jan 2006","To: 31 Dec 2006","Delaware",2006,1,"Liberia",1,"Claymont",1,39552
"130",42029,"From: 01 Jan 2007","To: 31 Dec 2007","Delaware",2007,22,"Burma",3,"Bear",3,47753
"131",20884,"From: 01 Jan 2008","To: 31 Dec 2008","Delaware",2008,1,"Iraq",1,"Bear",1,64733
"132",23920,"From: 01 Jan 2009","To: 31 Dec 2009","Delaware",2009,6,"Iran",2,"Wilmington",2,79942
"133",47471,"From: 01 Jan 2010","To: 31 Dec 2010","Delaware",2010,12,"Burma",8,"Georgetown",8,71361
"134",50224,"From: 01 Jan 2011","To: 31 Dec 2011","Delaware",2011,8,"Burma",8,"Georgetown",8,51458
"135",10594,"From: 01 Jan 2013","To: 31 Dec 2013","Delaware",2013,6,"Burma",5,"Wilmington",5,66066
"136",13394,"From: 01 Jan 2014","To: 31 Dec 2014","Delaware",2014,6,"Burma",6,"Georgetown",6,72820
"137",26829,"From: 01 Jan 2015","To: 31 Dec 2015","Delaware",2015,3,"Sri Lanka (Ceylon)",3,"Hockessin",3,66517
"138",400,"From: 01 Jan 2017","To: 31 Dec 2017","Delaware",2017,16,"Eritrea",7,"Wilmington",7,33368
"139",8743,"From: 01 Jan 2018","To: 31 Dec 2018","Delaware",2018,25,"Afghanistan",2,"Wilmington",2,22874
"140",29765,"From: 01 Jan 2002","To: 31 Dec 2002","District of Columbia",2002,31,"Ethiopia",12,"Washington",12,30289
"141",54198,"From: 01 Jan 2003","To: 31 Dec 2003","District of Columbia",2003,116,"Afghanistan",7,"Washington",7,32235
"142",35804,"From: 01 Jan 2004","To: 31 Dec 2004","District of Columbia",2004,67,"Colombia",1,"Washington",1,56342
"143",39079,"From: 01 Jan 2005","To: 31 Dec 2005","District of Columbia",2005,43,"Colombia",1,"Washington",1,51897
"144",44684,"From: 01 Jan 2006","To: 31 Dec 2006","District of Columbia",2006,69,"China",1,"Washington",1,39552
"145",42035,"From: 01 Jan 2007","To: 31 Dec 2007","District of Columbia",2007,25,"Eritrea",5,"Washington",5,47753
"146",20885,"From: 01 Jan 2008","To: 31 Dec 2008","District of Columbia",2008,38,"Ethiopia",8,"Washington",8,64733
"147",23922,"From: 01 Jan 2009","To: 31 Dec 2009","District of Columbia",2009,54,"Burma",2,"Washington",2,79942
"148",47474,"From: 01 Jan 2010","To: 31 Dec 2010","District of Columbia",2010,40,"Eritrea",9,"Washington",9,71361
